Invoice #,Invoice date,Payer,Referral #,Materials,Labor,Subtotal,Sales Tax,Gross Sales
452-1868978,2022-01-12,USAA,096132,333.21,112.01,445.22,26,471.22
452-1868964,2022-01-12,USAA,096163,438.61,172,610.61,34.21,644.82
452-1868874,2022-01-12,Infinity ,095005,1204.7,330,1534.7,93.97,1628.67
452-1868869,2022-01-12,AMSHIELD,585610126,326.46,128,454.46,25.47,479.93
452-1868852,2022-01-12,PROGRESSIVE,736102,429.52,289,718.52,33.5,752.02
452-1868832,2022-01-12,GEICO,653678,227.64,92,319.64,17.76,337.4
452-1868817,2022-01-12,GEICO,653622,605,124,729,47.19,776.19
452-1868631,2022-01-12,PROGRESSIVE,432774,734,141.46,875.46,57.25,932.71
452-1867854,2022-01-12,SAFECO,123879,940,287.5,1227.5,73.32,1300.82
452-1867320,2022-01-12,STATE FARM,585655626,262.93,96.6,359.53,20.51,380.04
452-1867311,2022-01-12,AMERPRISE,131138,447.09,936.9,1383.99,34.87,1418.86
452-1867307,2022-01-12,Esurance,089182,897.22,929.93,1827.15,69.98,1897.13
452-1867303,2022-01-12,AMERICAN FAMILY,128218,330.79,144.3,475.09,25.8,500.89
452-1867296,2022-01-12,PROGRESSIVE,103446,440.19,108.01,548.2,34.33,582.53
452-1867293,2022-01-12,STATE FARM,585580537,774.6,218.4,993,60.42,1053.42
452-1867287,2022-01-12,STATE FARM,585653151,501.7,218.4,720.1,39.13,759.23
452-1867274,2022-01-12,AMERICAN FAMILY,095675,352.43,959.1,1311.53,27.49,1339.02
452-1867272,2022-01-12,STATE FARM,585574154,285.82,121.8,407.62,22.29,429.91
452-1867268,2022-01-12,SAFECO,071610,367.9,146.52,514.42,28.69,543.11
452-1867265,2022-01-12,SAFECO,058361,349.32,146.51,495.83,27.25,523.08
452-1867263,2022-01-12,PROGRESSIVE,058125,341.85,263.5,605.35,26.66,632.01
452-1867252,2022-01-12,PROGRESSIVE,058005,1032.3,597.5,1629.8,80.52,1710.32
452-1865493,2022-01-12,STATE FARM,585574170,0,65,65,0,65
452-1865488,2022-01-12,Cash Job,,351.8,120.76,472.56,27.44,500
452-1865487,2022-01-12,STATE FARM,585558019,512.53,130.2,642.73,39.98,682.71
452-1865477,2022-01-12,AMERICAN FAMILY,072333,411.36,951.7,1363.06,32.09,1395.15
452-1865470,2022-01-12,Cash Job,,195.45,171.3,366.75,15.25,382
452-1865436,2022-01-12,NATIONAL GENERAL INSURANCE,883282,474.91,206.5,681.41,37.04,718.45
452-1864863,2022-01-12,AMERICAN FAMILY,089341,343.47,97.63,441.1,26.79,467.89
452-1864798,2022-01-12,STATE FARM,585550255,518.04,513.6,1031.64,40.4,1072.04
452-1863455,2022-01-12,ALLSTATE,061616,136.16,129.5,265.66,10.62,276.28
452-1855804,2022-01-12,STATE FARM,585289328,438.31,142.8,581.11,34.19,615.3
452-1847042,2022-01-12,PROGRESSIVE,199164,812.81,391,1203.81,63.4,1267.21
452-1843017,2022-01-12,PROGRESSIVE,652872,795.09,563.5,1358.59,62.01,1420.6
452-1819844,2022-01-12,TRAVELERS,517309,600.15,153.12,753.27,46.81,800.08
452-1787879,2022-01-12,STATE FARM,583384323,230.98,147,377.98,18.02,396
1091-1886185,2022-01-13,KELSEY GRUNDSTROM,,0,300,300,0,300
1091-1886104,2022-01-13,AUTO GLASS 2020 LLC,906298,0,275,275,0,275
1091-1886029,2022-01-13,AUTO GLASS 2020 LLC,200422,0,275,275,0,275
1091-1885930,2022-01-13,AUTO GLASS 2020 LLC,229840,0,450,450,0,450
1091-1885688,2022-01-13,AUTO GLASS 2020 LLC,585858691,0,300,300,0,300
1091-1885601,2022-01-13,AUTO GLASS 2020 LLC,632272,0,300,300,0,300
1091-1885560,2022-01-13,AUTO GLASS 2020 LLC,189257,0,295,295,0,295
1091-1885484,2022-01-13,AUTO GLASS 2020 LLC,995212,0,475,475,0,475
1091-1885477,2022-01-13,SEE N CLEAR,133070,0,800,800,0,800
452-1883171,2022-01-13,Cash Job,,471.67,227.07,698.74,36.79,735.53
452-1883164,2022-01-13,STATE FARM,586060472,518.16,226.8,744.96,40.41,785.37
452-1876858,2022-01-13,Cash Job,,213.95,63.29,277.24,16.69,293.93
452-1876375,2022-01-13,Country Financial ,229840,401.82,574,975.82,31.34,1007.16
452-1876311,2022-01-13,STATE FARM,585914222,136.41,92.4,228.81,10.64,239.45
452-1876307,2022-01-13,SAFECO,221305,331.22,209.52,540.74,25.83,566.57
452-1876084,2022-01-13,STATE FARM,585901821,480.47,147,627.47,37.48,664.95
452-1876079,2022-01-13,STATE FARM,585904464,0,0,0,0,0
452-1875878,2022-01-13,USAA,224035,313.52,111.99,425.51,24.46,449.97
452-1875875,2022-01-13,GEICO,820104,667.5,124.09,791.59,52.07,843.66
452-1875871,2022-01-13,STATE FARM,585884137,162.69,130.2,292.89,12.69,305.58
452-1875865,2022-01-13,Cash Job,,156.77,131,287.77,12.23,300
452-1875848,2022-01-13,GEICO,210930,401.35,123.99,525.34,31.31,556.65
452-1875844,2022-01-13,AMSHIELD,585889481,224.31,173,397.31,17.5,414.81
452-1875835,2022-01-13,GEICO,200422,1176.23,415,1591.23,91.75,1682.98
452-1875830,2022-01-13,PROGRESSIVE,177325,508.51,240,748.51,39.66,788.17
452-1875824,2022-01-13,PROGRESSIVE,175858,587.5,238,825.5,45.83,871.33
452-1875811,2022-01-13,Cash Job,,260.2,131.5,391.7,20.3,412
452-1875794,2022-01-13,Cash Job,,131.67,134.06,265.73,10.27,276
452-1875792,2022-01-13,PEKIN,986707,472.48,128,600.48,36.86,637.34
452-1875790,2022-01-13,GEICO,922762,146.51,100,246.51,11.43,257.94
452-1874447,2022-01-13,Infinity ,202481,511.75,195.5,707.25,39.92,747.17
452-1874440,2022-01-13,PROGRESSIVE,906298,961.4,538.5,1499.9,74.99,1574.89
452-1874425,2022-01-13,PROGRESSIVE,129823,529.17,255,784.17,41.27,825.44
452-1874258,2022-01-13,Mercury ,,363.26,100,463.26,28.33,491.59
452-1874254,2022-01-13,STILLWATER,585858691,719.09,424,1143.09,56.08,1199.17
452-1874239,2022-01-13,Cash Job,,150,168.3,318.3,11.7,330
452-1874191,2022-01-13,USAA,208973,538.31,160,698.31,41.98,740.29
452-1873937,2022-01-13,AMERICAN ACCESS CASUALTY COMPANY,2201050738,171.98,37.43,209.41,13.41,222.82
452-1873936,2022-01-13,STATE FARM,585802599,173.93,109.2,283.13,13.57,296.7
452-1873935,2022-01-13,USAA,204584,283.37,124,407.37,22.1,429.47
452-1873924,2022-01-13,LIBERTY MUTUAL,189257,765.09,486.62,1251.71,59.67,1311.38
452-1873149,2022-01-13,ALLSTATE,083699,598.37,908.5,1506.87,46.67,1553.54
452-1873125,2022-01-13,AMERICAN FAMILY,176239,457.64,925.8,1383.44,35.7,1419.14
452-1873120,2022-01-13,AMERPRISE,131353,454.69,136.9,591.59,35.47,627.06
452-1873111,2022-01-13,STATE FARM,585763828,306.78,130.2,436.98,23.93,460.91
452-1873100,2022-01-13,FARMERS,093547,293.15,121.8,414.95,22.87,437.82
452-1873094,2022-01-13,GEICO,127827,254.83,128,382.83,19.88,402.71
452-1873093,2022-01-13,ALLSTATE,090350,0,65,65,0,65
452-1873039,2022-01-13,ALLSTATE,090180,1327.56,1008.9,2336.46,103.54,2440
452-1873013,2022-01-13,ALLSTATE,083805,815.37,136.5,951.87,63.6,1015.47
452-1872936,2022-01-13,AMERICAN FAMILY,162601,499.83,88.8,588.63,38.99,627.62
452-1872565,2022-01-13,STATE FARM,585841942,314.66,189,503.66,24.54,528.2
452-1872164,2022-01-13,FARMERS,147541,248.52,100.05,348.57,19.38,367.95
452-1869988,2022-01-13,GEICO,632272,890.25,432,1322.25,69.44,1391.69
452-1868949,2022-01-13,ALLSTATE,681756,123.54,77,200.54,9.64,210.18
452-1864784,2022-01-13,LIBERTY MUTUAL,995212,698.04,725.1,1423.14,54.44,1477.58
452-1860600,2022-01-13,STATE FARM,585383162,590.42,455.4,1045.82,46.06,1091.88
452-1763934,2022-01-13,AMSHIELD,582355397,510.58,160,670.58,39.83,710.41
1091-1888333,2022-01-14,AUTO GLASS 2020 LLC,934843,0,295,295,0,295
1091-1888312,2022-01-14,AUTO GLASS 2020 LLC,875978,0,800,800,0,800
1091-1888299,2022-01-14,AUTO GLASS 2020 LLC,584963300,0,300,300,0,300
1091-1888275,2022-01-14,AUTO GLASS 2020 LLC,666941,0,300,300,0,300
1091-1888263,2022-01-14,AUTO GLASS 2020 LLC,891943,0,300,300,0,300
1091-1888207,2022-01-14,AUTO GLASS 2020 LLC,725080,0,800,800,0,800
1091-1888198,2022-01-14,AUTO GLASS 2020 LLC,911967,0,800,800,0,800
1091-1888172,2022-01-14,AUTO GLASS 2020 LLC,125137,0,350,350,0,350
1091-1888154,2022-01-14,AUTO GLASS 2020 LLC,542911,0,800,800,0,800
452-1888091,2022-01-14,ALLSTATE,902629,0,0,0,0,0
452-1888056,2022-01-14,FARMERS,346974,0,0,0,0,0
452-1887973,2022-01-14,ALLSTATE,683631,0,0,0,0,0
452-1887952,2022-01-14,ALLSTATE,607542,0,0,0,0,0
1091-1887773,2022-01-14,AUTO GLASS 2020 LLC,582907489,0,300,300,0,300
452-1885828,2022-01-14,STATEFARM,586133224,224.69,138.6,363.29,17.52,380.81
452-1878881,2022-01-14,Cash Job,,695.25,243.2,938.45,54.23,992.68
1091-1892576,2022-01-15,AUTO GLASS 2020 LLC,090806,0,300,300,0,300
1091-1893425,2022-01-18,AUTO GLASS 2020 LLC,058485,0,600,600,0,600
1091-1893326,2022-01-18,AUTO GLASS 2020 LLC,252697,0,300,300,0,300
1091-1893093,2022-01-18,AUTO GLASS 2020 LLC,248832,0,300,300,0,300
1091-1892939,2022-01-18,AUTO GLASS 2020 LLC,585941726,0,250,250,0,250
1091-1892738,2022-01-18,AUTO GLASS 2020 LLC,585930406,0,300,300,0,300
1091-1892690,2022-01-18,AUTO GLASS 2020 LLC,184789,0,275,275,0,275
1091-1892481,2022-01-18,AUTO GLASS 2020 LLC,585119198,0,300,300,0,300
1091-1892387,2022-01-18,AUTO GLASS 2020 LLC,077776,0,300,300,0,300
1091-1892247,2022-01-18,AUTO GLASS 2020 LLC,201442,0,800,800,0,800
452-1881790,2022-01-18,PROGRESSIVE,252697,918.73,614.5,1533.23,71.66,1604.89
452-1881775,2022-01-18,GEICO,282622,244.63,120.6,365.23,19.08,384.31
452-1881767,2022-01-18,AMERICAN FAMILY,250537,256.38,107.3,363.68,20,383.68
452-1881682,2022-01-18,ALLSTATE,272113,595.49,908.5,1503.99,46.45,1550.44
452-1881642,2022-01-18,Cash Job,,194.62,130.2,324.82,15.18,340
452-1881609,2022-01-18,Cash Job,,400.57,67.19,467.76,31.24,499
452-1879737,2022-01-18,PROGRESSIVE,240367,819.83,156,975.83,63.95,1039.78
452-1879639,2022-01-18,GEICO,276570,125.9,88,213.9,9.82,223.72
452-1879618,2022-01-18,Cash Job,,0,110,110,0,110
452-1879617,2022-01-18,Cash Job,,175,115.35,290.35,13.65,304
452-1879612,2022-01-18,Common Wealth,CAZ 0049298,448.85,101.5,550.35,35.01,585.36
452-1879609,2022-01-18,GEICO,242729,142.61,137.29,279.9,11.12,291.02
452-1879589,2022-01-18,ALLSTATE,240095,541.34,905,1446.34,42.23,1488.57
452-1878993,2022-01-18,STATE FARM,585941726,401.47,388.6,790.07,31.31,821.38
452-1878974,2022-01-18,STATE FARM,585930406,608.19,455.4,1063.59,47.44,1111.03
452-1878922,2022-01-18,Kemper,251478,889.04,246.5,1135.54,69.35,1204.89
452-1878913,2022-01-18,GEICO,248832,458.47,408,866.47,35.76,902.23
452-1878910,2022-01-18,Common Wealth,CAZ-0049467,177.55,80.5,258.05,13.85,271.9
452-1878901,2022-01-18,STATE FARM,585992029,312.98,151.2,464.18,24.41,488.59
452-1878870,2022-01-18,Erin Eagar,,111.62,150.67,262.29,8.71,271
452-1878868,2022-01-18,ALLSTATE,240608,276.12,105,381.12,21.53,402.65
452-1878865,2022-01-18,Cash Job,,316.15,83.19,399.34,24.66,424
452-1878862,2022-01-18,STATE FARM,585903182,262.93,96.6,359.53,20.51,380.04
452-1878773,2022-01-18,STATE FARM,585974934,333.53,138.61,472.14,26.02,498.16
452-1878732,2022-01-18,GEICO,184789,563.51,397.05,960.56,43.95,1004.51
452-1878729,2022-01-18,ALLSTATE,149161,280.34,84,364.34,21.87,386.21
452-1878722,2022-01-18,SAFECO,066933,774.03,601.28,1375.31,60.37,1435.68
452-1878710,2022-01-18,ALLSTATE,078796,347.49,901.5,1248.99,27.1,1276.09
452-1878679,2022-01-18,STATEFARM,585984158,602.15,626.8,1228.95,46.97,1275.92
452-1877403,2022-01-18,AMERICAN FAMILY,250903,192.45,125.8,318.25,15.01,333.26
452-1877295,2022-01-18,STATE FARM,585938032,199.21,100.8,300.01,15.54,315.55
452-1877293,2022-01-18,AAA,240363,572.78,108.5,681.28,44.67,725.95
452-1877292,2022-01-18,GEICO,098608,353.51,156,509.51,27.57,537.08
452-1877287,2022-01-18,Alliance,201442,593.18,936,1529.18,0,1529.18
452-1877285,2022-01-18,FARMERS,222705,290.52,405.5,696.02,22.66,718.68
452-1877284,2022-01-18,USAA,244459,296.54,132,428.54,23.13,451.67
452-1877283,2022-01-18,Common Wealth,CAZ 0049353,0,50,50,0,50
452-1877281,2022-01-18,CONNECT BY AM FAM,175045,433.61,159.1,592.71,33.82,626.53
452-1877280,2022-01-18,PROGRESSIVE,174470,561.42,306,867.42,43.79,911.21
452-1877279,2022-01-18,PROGRESSIVE,162067,380.75,151.65,532.4,29.7,562.1
452-1877278,2022-01-18,Cash Job,,134.4,120.12,254.52,10.48,265
452-1876861,2022-01-18,Cash Job,,0,80,80,0,80
452-1875855,2022-01-18,GEICO,090806,662.92,432,1094.92,51.7,1146.62
452-1875832,2022-01-18,Cash Job,,248.25,110.39,358.64,19.36,378
452-1875818,2022-01-18,GERBER,571956373,206.71,100,306.71,16.12,322.83
452-1875806,2022-01-18,Cash Job,,0,120,120,0,120
452-1875423,2022-01-18,PROGRESSIVE,077776,1010.64,716.5,1727.14,78.83,1805.97
452-1873897,2022-01-18,CONNECT BY AM FAM,198798,163.99,914.7,1078.69,12.8,1091.49
452-1873253,2022-01-18,ENTERPRISE FLEET,PO# 770188,452.53,335.74,788.27,0,788.27
452-1873001,2022-01-18,FARMERS,917559,177.75,147.9,325.65,13.87,339.52
452-1871941,2022-01-18,FARMERS,175589,1214.74,504.45,1719.19,94.75,1813.94
452-1871620,2022-01-18,AMSHIELD,585119198,1238.73,488,1726.73,96.63,1823.36
452-1865492,2022-01-18,USAA,087556,421.45,136,557.45,32.88,590.33
1091-1895850,2022-01-19,AUTO GLASS 2020 LLC,586167161,0,250,250,0,250
452-1895832,2022-01-19,Country Financial ,461383,0,65,65,0,65
1091-1895608,2022-01-19,AUTO GLASS 2020 LLC,233448,0,300,300,0,300
1091-1895568,2022-01-19,AUTO GLASS 2020 LLC,220019,0,300,300,0,300
1091-1895403,2022-01-19,AUTO GLASS 2020 LLC,291448,0,300,300,0,300
1091-1895344,2022-01-19,AUTO GLASS 2020 LLC,306509,0,300,300,0,300
1091-1895307,2022-01-19,AUTO GLASS 2020 LLC,585917515,0,300,300,0,300
1091-1895094,2022-01-19,AUTO GLASS 2020 LLC,181189,0,300,300,0,300
1091-1894907,2022-01-19,AUTO GLASS 2020 LLC,219344,0,300,300,0,300
452-1886099,2022-01-19,USAA,347538,368.03,156.01,524.04,28.7,552.74
452-1886050,2022-01-19,Common Wealth,CAZ 0049630,559.5,290,849.5,43.65,893.15
452-1886044,2022-01-19,Common Wealth,CAZ 0049592,176.3,129.5,305.8,13.76,319.56
452-1886017,2022-01-19,STATE FARM,586167161,401.47,388.6,790.07,31.31,821.38
452-1885797,2022-01-19,AMERICAN FAMILY,324262,321.69,103.6,425.29,25.09,450.38
452-1885770,2022-01-19,Mutual Of Enumclaw,316810,356.58,87.5,444.08,27.81,471.89
452-1885634,2022-01-19,STATE FARM,586086706,471.14,113.4,584.54,36.75,621.29
452-1885117,2022-01-19,Hartford,244716,893.72,189,1082.72,69.71,1152.43
452-1885111,2022-01-19,AMERICAN FAMILY,300555,240.31,96.2,336.51,18.74,355.25
452-1884499,2022-01-19,PROGRESSIVE,288985,803,289,1092,62.63,1154.63
452-1884240,2022-01-19,GEICO,274055,363.84,156,519.84,28.38,548.22
452-1884209,2022-01-19,AMERICAN ACCESS CASUALTY COMPANY,2201111693,394.65,100,494.65,30.78,525.43
452-1884199,2022-01-19,ALLSTATE,309051,491.84,94.5,586.34,38.37,624.71
452-1883906,2022-01-19,AMERICAN FAMILY,326817,193.51,159.1,352.61,15.09,367.7
452-1883900,2022-01-19,USAA,323562,596.77,208,804.77,46.55,851.32
452-1883897,2022-01-19,GEICO,306839,312.23,208,520.23,24.35,544.58
452-1883895,2022-01-19,GEICO,304802,367.68,117.72,485.4,28.68,514.08
452-1883886,2022-01-19,GEICO,306509,545.54,432,977.54,42.55,1020.09
452-1883881,2022-01-19,PROGRESSIVE,291448,1026.18,580.5,1606.68,80.04,1686.72
452-1883865,2022-01-19,STATE FARM,585917515,1259.23,455.4,1714.63,98.22,1812.85
452-1883176,2022-01-19,STATEFARM,586084037,676.93,163.6,840.53,52.8,893.33
452-1883162,2022-01-19,USAA,241314,0,60,60,0,60
452-1883157,2022-01-19,Anna Reyes,,135.75,80.66,216.41,10.59,227
452-1883151,2022-01-19,Cash Job,,124.72,125.55,250.27,9.73,260
452-1883144,2022-01-19,Cash Job,,216.99,31.08,248.07,16.93,265
452-1883141,2022-01-19,ALLSTATE,278231,253.47,140,393.47,19.77,413.24
452-1883127,2022-01-19,GEICO,250628,365.04,120,485.04,28.48,513.52
452-1883084,2022-01-19,USAA,306670,256.16,104,360.16,19.98,380.14
452-1882174,2022-01-19,GEICO,181189,454.65,460,914.65,35.46,950.11
452-1882031,2022-01-19,GEICO,181556,411.5,117.61,529.11,32.1,561.21
452-1881982,2022-01-19,AMERICAN FAMILY,303191,434.25,159.1,593.35,33.87,627.22
452-1881869,2022-01-19,GEICO,220019,867.58,448,1315.58,67.67,1383.25
452-1881789,2022-01-19,USAA,296916,464.46,116,580.46,36.23,616.69
452-1881784,2022-01-19,USAA,296770,195.64,132,327.64,15.26,342.9
452-1881779,2022-01-19,AAA,292359,276.47,126,402.47,21.56,424.03
452-1881760,2022-01-19,GEICO,282035,733,136,869,57.17,926.17
452-1881750,2022-01-19,USAA,252324,310.99,216,526.99,24.26,551.25
452-1881734,2022-01-19,USAA,252276,420.58,146.79,567.37,32.81,600.18
452-1881724,2022-01-19,USAA,252359,176.31,148,324.31,13.75,338.06
452-1881670,2022-01-19,LIBERTY MUTUAL,231699,903.99,192.35,1096.34,70.51,1166.85
452-1881668,2022-01-19,Cash Job,,190.91,188.34,379.25,14.89,394.14
452-1881654,2022-01-19,GEICO,219344,545.54,432,977.54,42.55,1020.09
452-1881612,2022-01-19,PROGRESSIVE,232840,579.12,246.5,825.62,45.17,870.79
452-1878984,2022-01-19,Cash Job,,202.6,124.72,327.32,15.8,343.12
452-1878699,2022-01-19,Hartford,579817,288.85,140,428.85,22.53,451.38
452-1878202,2022-01-19,ENTERPRISE FLEET,770788,307.13,141.62,448.75,0,448.75
452-1877290,2022-01-19,GEICO,233448,549.75,428,977.75,42.88,1020.63
452-1877289,2022-01-19,USAA,229472,271.4,136,407.4,21.17,428.57
452-1871963,2022-01-19,Cash Job,,143.4,185.41,328.81,11.19,340
452-1871950,2022-01-19,Selective Insurance,177865,539.43,949.52,1488.95,42.08,1531.03
452-1871882,2022-01-19,USAA,087634,332.44,107.19,439.63,25.93,465.56
1091-1897878,2022-01-20,AUTO GLASS 2020 LLC,586252797,0,250,250,0,250
1091-1897836,2022-01-20,AUTO GLASS 2020 LLC,052777,0,300,300,0,300
1091-1897807,2022-01-20,AUTO GLASS 2020 LLC,123810,0,300,300,0,300
1091-1897685,2022-01-20,AUTO GLASS 2020 LLC,222972,0,300,300,0,300
1091-1897671,2022-01-20,AUTO GLASS 2020 LLC,342745,0,300,300,0,300
1091-1897621,2022-01-20,AUTO GLASS 2020 LLC,586192131,0,300,300,0,300
1091-1897609,2022-01-20,AUTO GLASS 2020 LLC,358134,0,300,300,0,300
1091-1897583,2022-01-20,AUTO GLASS 2020 LLC,324501,0,800,800,0,800
1091-1897331,2022-01-20,AUTO GLASS 2020 LLC,586105522,0,250,250,0,250
452-1895902,2022-01-20,ALLSTATE,460991,404.45,136.5,540.95,31.55,572.5
452-1888511,2022-01-20,PROGRESSIVE,352972,105.44,68,173.44,8.22,181.66
452-1888363,2022-01-20,STATE FARM,586252797,313.52,359.2,672.72,24.45,697.17
452-1888360,2022-01-20,PROGRESSIVE,222972,577.18,432,1009.18,45.02,1054.2
452-1888352,2022-01-20,STATE FARM,586244174,333.6,163.8,497.4,26.02,523.42
452-1888332,2022-01-20,GEICO,358134,389.92,424,813.92,30.41,844.33
452-1888329,2022-01-20,Common Wealth,CAZ-0049603,199.67,101.5,301.17,15.58,316.75
452-1888318,2022-01-20,PROGRESSIVE,314936,847.8,187,1034.8,66.13,1100.93
452-1888304,2022-01-20,STATE FARM,586202706,277,121.8,398.8,21.61,420.41
452-1888300,2022-01-20,GEICO,920809,437.93,116,553.93,34.16,588.09
452-1888292,2022-01-20,STATE FARM,586192131,605.04,480.6,1085.64,47.19,1132.83
452-1888288,2022-01-20,Cash Job,,0,720,720,0,720
452-1888257,2022-01-20,GEICO,342745,517.13,444,961.13,40.34,1001.47
452-1888238,2022-01-20,PROGRESSIVE,239803,550.03,280.5,830.53,42.9,873.43
452-1887227,2022-01-20,PROGRESSIVE,123810,966.33,614.5,1580.83,75.37,1656.2
452-1887206,2022-01-20,Cash Job,,0,195,195,0,195
452-1886276,2022-01-20,MeTLife,351735,516.91,908.5,1425.41,40.32,1465.73
452-1886222,2022-01-20,FARMERS,905987,867.59,474,1341.59,67.67,1409.26
452-1886213,2022-01-20,PROGRESSIVE,777073,1064.97,204,1268.97,83.07,1352.04
452-1886206,2022-01-20,PROGRESSIVE,093155,237.39,128.65,366.04,18.52,384.56
452-1886126,2022-01-20,STATE FARM,586200908,306.68,121.8,428.48,23.92,452.4
452-1886119,2022-01-20,STATE FARM,586199241,215.48,117.6,333.08,16.81,349.89
452-1886108,2022-01-20,STATE FARM,586199160,306.78,130.2,436.98,23.93,460.91
452-1886072,2022-01-20,Craig Clarin,,212.69,76.72,289.41,16.59,306
452-1886062,2022-01-20,Cash Job,,397.01,71.02,468.03,30.97,499
452-1886040,2022-01-20,Common Wealth,CAZ 0049462,537,276,813,41.89,854.89
452-1886012,2022-01-20,GEICO,338895,275.43,116,391.43,21.49,412.92
452-1886004,2022-01-20,AMERICAN FAMILY,324501,251.38,911,1162.38,19.61,1181.99
452-1885968,2022-01-20,FARMERS,327986,188.37,147.9,336.27,14.69,350.96
452-1885812,2022-01-20,STATE FARM,586105522,292.58,376,668.58,22.82,691.4
452-1885787,2022-01-20,FARMERS,320168,165.74,143.55,309.29,12.93,322.22
452-1885602,2022-01-20,Caleb Rice,,209.75,243.89,453.64,16.36,470
452-1885598,2022-01-20,Cash Job,,99.2,173.06,272.26,7.74,280
452-1885588,2022-01-20,GEICO,267149,520.04,576,1096.04,40.57,1136.61
452-1885019,2022-01-20,PROGRESSIVE,231106,101.62,68,169.62,7.93,177.55
452-1883102,2022-01-20,STATE FARM,585843937,474.35,147,621.35,37,658.35
452-1882003,2022-01-20,PROGRESSIVE,250646,511.75,195.5,707.25,39.92,747.17
452-1878873,2022-01-20,Common Wealth,CAZ-0049530,1168.72,298,1466.72,91.16,1557.88
452-1878765,2022-01-20,PROGRESSIVE,052777,1006.66,463.48,1470.14,78.52,1548.66
1091-1899693,2022-01-21,AUTO GLASS 2020 LLC,965481,0,800,800,0,800
1091-1899676,2022-01-21,AUTO GLASS 2020 LLC,878517,0,800,800,0,800
1091-1899661,2022-01-21,AUTO GLASS 2020 LLC,592643,0,800,800,0,800
1091-1899631,2022-01-21,AUTO GLASS 2020 LLC,402676,0,800,800,0,800
1091-1899606,2022-01-21,AUTO GLASS 2020 LLC,879891,0,800,800,0,800
452-1899601,2022-01-21,ALLSTATE,879891,0,0,0,0,0
1091-1899575,2022-01-21,AUTO GLASS 2020 LLC,623077,0,800,800,0,800
452-1899560,2022-01-21,ALLSTATE,623077,0,0,0,0,0
1091-1899500,2022-01-21,AUTO GLASS 2020 LLC,765298,0,800,800,0,800
452-1899481,2022-01-21,Mutual Of Enumclaw,853532,0,0,0,0,0
1091-1899475,2022-01-21,AUTO GLASS 2020 LLC,853532,0,800,800,0,800
1091-1899443,2022-01-21,AUTO GLASS 2020 LLC,959073,0,800,800,0,800
452-1899435,2022-01-21,ALLSTATE,959073,0,0,0,0,0
452-1899383,2022-01-21,FARMERS,793081,0,0,0,0,0
1091-1899376,2022-01-21,AUTO GLASS 2020 LLC,514604,0,800,800,0,800
1091-1899293,2022-01-21,AUTO GLASS 2020 LLC,757959,0,800,800,0,800
452-1899277,2022-01-21,FARMERS,913708,0,0,0,0,0
452-1899261,2022-01-21,ALLSTATE,514604,0,0,0,0,0
452-1899247,2022-01-21,ALLSTATE,757959,0,0,0,0,0
1091-1898891,2022-01-21,AUTO GLASS 2020 LLC,261804,0,300,300,0,300
1091-1902934,2022-01-24,AUTO GLASS 2020 LLC,402657,0,750,750,0,750
1091-1902845,2022-01-24,AUTO GLASS 2020 LLC,586053883,0,300,300,0,300
1091-1902816,2022-01-24,AUTO GLASS 2020 LLC,377542,0,300,300,0,300
1091-1902755,2022-01-24,AUTO GLASS 2020 LLC,585501289,0,250,250,0,250
1091-1902258,2022-01-24,AUTO GLASS 2020 LLC,348430,0,275,275,0,275
1091-1902191,2022-01-24,AUTO GLASS 2020 LLC,225209,0,750,750,0,750
452-1891986,2022-01-24,PROGRESSIVE,281843,557.95,442,999.95,43.52,1043.47
452-1891420,2022-01-24,STATE FARM,586334211,349.95,168,517.95,27.3,545.25
452-1891233,2022-01-24,Farm bureau,406608,648.23,98,746.23,50.56,796.79
452-1891168,2022-01-24,STATE FARM,0329N533M,1288.31,500,1788.31,100.49,1888.8
452-1891058,2022-01-24,Mutual Of Enumclaw,397811,452.93,150.5,603.43,35.33,638.76
452-1890989,2022-01-24,STATEFARM,586320571,338.54,455.4,793.94,26.4,820.34
452-1890957,2022-01-24,USAA,402657,780.3,886,1666.3,60.86,1727.16
452-1890944,2022-01-24,FARMERS,401208,219.93,427.25,647.18,17.15,664.33
452-1890919,2022-01-24,GEICO,377542,389.92,424,813.92,30.41,844.33
452-1890244,2022-01-24,STATE FARM,586306463,333.44,138.6,472.04,26.01,498.05
452-1889914,2022-01-24,STATE FARM,586292071,217.83,151,368.83,16.99,385.82
452-1889877,2022-01-24,Cash Job,,263.38,48.41,311.79,20.54,332.33
452-1889857,2022-01-24,STATE FARM,586145532,667.36,130.2,797.56,52.05,849.61
452-1889822,2022-01-24,AMERICAN FAMILY,394525,143.85,81.4,225.25,11.22,236.47
452-1889816,2022-01-24,GEICO,242737,605,124,729,47.19,776.19
452-1889184,2022-01-24,Cash Job,,224.15,33.37,257.52,17.48,275
452-1889182,2022-01-24,Cash Job,,219,113.92,332.92,17.08,350
452-1889180,2022-01-24,AMERICAN FAMILY,378671,228.1,896.2,1124.3,17.79,1142.09
452-1889179,2022-01-24,Cash Job,,102.22,145.58,247.8,7.97,255.77
452-1889178,2022-01-24,AMERICAN FAMILY,364595,196.68,133.2,329.88,15.35,345.23
452-1889176,2022-01-24,GEICO,348430,414.39,383,797.39,32.32,829.71
452-1889175,2022-01-24,AMERICAN FAMILY,344991,198.18,159.1,357.28,15.46,372.74
